[2026-06-09T05:40:41.998Z] horror-spa-gen-fic.csv: genre=Horror, rows=127, rowLimitHit=no, fileBookLimit=65, added=65, skippedByFileBookLimit=53, duplicates=7, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=1760
[2026-06-09T05:40:42.001Z] historical-eng-ya-fic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=7, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=1825
[2026-06-09T05:40:42.003Z] crime-eng-ya-fic.csv: genre=Crime, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=85, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=1890
[2026-06-09T05:40:42.006Z] biography-eng-ya-fic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=71, duplicates=15, digitalSkipped=1, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=1955
[2026-06-09T05:40:42.015Z] drama-eng-ya-fic.csv: genre=Drama, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=67, duplicates=18, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2020
[2026-06-09T05:40:42.016Z] adventure-spa-gen-nonfic.csv: genre=Nonfiction, rows=28, rowLimitHit=no, fileBookLimit=65, added=27, skippedByFileBookLimit=0, duplicates=27, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2047
[2026-06-09T05:40:42.018Z] mystery-spa-ya-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=7, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2112
[2026-06-09T05:40:42.020Z] fantasy-spa-ya-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=73, duplicates=22, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2177
[2026-06-09T05:40:42.022Z] romance-spa-ya-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=68, duplicates=19, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2242
[2026-06-09T05:40:42.025Z] adventure-spa-ya-fic.csv: genre=Adventure, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=65, duplicates=83, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=2307
[2026-06-09T05:40:42.026Z] horror-spa-ya-fic.csv: genre=Horror, rows=69, rowLimitHit=no, fileBookLimit=65, added=58, skippedByFileBookLimit=0, duplicates=20, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2365
[2026-06-09T05:40:42.028Z] historical-eng-ya-nonfic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=76, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=2430
[2026-06-09T05:40:42.030Z] crime-eng-ya-nonfic.csv: genre=Crime, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2495
[2026-06-09T05:40:42.041Z] biography-eng-ya-nonfic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2560
[2026-06-09T05:40:42.043Z] drama-eng-ya-nonfic.csv: genre=Drama, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2625
[2026-06-09T05:40:42.044Z] adventure-spa-ya-nonfic.csv: genre=Nonfiction, rows=37, rowLimitHit=no, fileBookLimit=65, added=33, skippedByFileBookLimit=0, duplicates=34, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=2658
[2026-06-09T05:40:42.046Z] historical-spa-gen-fic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=76, duplicates=10, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2723
[2026-06-09T05:40:42.047Z] crime-spa-gen-fic.csv: genre=Crime, rows=83, rowLimitHit=no, fileBookLimit=65, added=65, skippedByFileBookLimit=5, duplicates=12, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2788
[2026-06-09T05:40:42.047Z] biography-spa-gen-fic.csv: genre=Biography, rows=14, rowLimitHit=no, fileBookLimit=65, added=13, skippedByFileBookLimit=0, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=2801
[2026-06-09T05:40:42.048Z] drama-spa-gen-fic.csv: genre=Drama, rows=54, rowLimitHit=no, fileBookLimit=65, added=42, skippedByFileBookLimit=0, duplicates=14, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=2843
[2026-06-09T05:40:42.050Z] fantasy-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=62, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=23, rejected=0, totalBooks=2908
[2026-06-09T05:40:42.051Z] historical-spa-gen-nonfic.csv: genre=Historical Fiction, rows=43, rowLimitHit=no, fileBookLimit=65, added=41, skippedByFileBookLimit=0, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=2949
[2026-06-09T05:40:42.052Z] crime-spa-gen-nonfic.csv: genre=Crime, rows=57, rowLimitHit=no, fileBookLimit=65, added=50, skippedByFileBookLimit=0, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=4, rejected=0, totalBooks=2999
